x1,y1,z1,x2,y2,z2,x3,y3,z3
5.7791824,3.4464333,6.7898808,6.5719337,4.023633,6.1719656,3.2620168,7.110813,4.1314087
5.9228835,3.4296682,7.0245924,5.719307,4.1002736,7.1539235,2.4333398,4.8307548,6.5312185
6.9048414,3.8056862,5.5540504,8.964559,5.415139,9.5489435,4.519402,1.089734,11.354788
7.3096,3.891907,5.640271,14.034815,4.703819,11.213482,5.127737,1.9998415,9.350157
8.234077,3.3123121,1.6573536,1.1639795,-1.4513819,0.28500733,5.601951,2.8788135,8.131092
7.8844047,3.7434156,4.3014555,-12.535533,-0.50774413,-5.381609,3.6212697,1.3052857,-3.417693
4.993616,2.6225464,2.5459058,-10.523716,-5.0199614,-5.973179,4.7804594,-0.6610254,-8.339458
4.873865,-1.6357985,1.2358302,28.256441,8.411309,-0.6706055,4.766089,-3.182981,-10.135723
6.957532,-5.6354814,2.1339624,14.9305525,13.836028,-2.5171657,5.6570363,-4.1050634,-9.153765
9.2184305,-7.7862086,0.36164796,11.306888,-0.79035646,-1.9639161,11.247012,-4.9792457,-11.328443
11.903248,-9.733359,0.6658155,-16.710052,-9.328602,-7.0437527,15.514937,-3.3745828,-4.8571
12.3415365,-7.5227566,2.572251,-10.037527,-10.150093,-3.666775,9.053174,-1.1615845,-1.6693287
8.085587,-7.573052,3.7601807,41.33804,18.93742,-6.5791187,3.1446607,0.52690434,-8.126302
9.220825,-7.2114043,-1.2286451,15.986756,15.809525,-2.4764502,0.55324954,3.5733693,-7.8700347
12.008629,-7.36708,1.4609619,-3.6236646,-8.193362,-5.2738333,-2.0357666,3.3410523,-7.4197707
9.616004,-8.078402,0.98195803,-21.334835,-7.065308,-2.5914114,0.87897223,-1.9160157,-8.475974
6.6246243,-7.173084,0.6658155,-2.335144,-6.3012967,-7.0293827,11.773916,-3.1470559,-10.063872
4.232,-5.4822,0.71371585,34.246387,28.850407,-3.4847536,8.804092,-3.2524366,-11.987073
2.8812087,-4.272715,0.033530276,15.3736315,13.862373,-0.9580079,7.599397,-3.9350173,-13.986915
4.790039,-5.206773,-0.32093263,-3.3937428,-8.840017,-4.91937,11.244617,-3.4847536,-11.953543
7.460486,-7.0413575,0.69695073,-25.200397,-8.171807,-6.05461,15.320941,-2.1171973,-5.989944
11.196717,-7.7359133,1.575923,-3.65959,-6.7611403,-5.2666483,7.204219,-0.4382886,-0.4382886
10.157278,-7.168294,1.3915064,38.006565,21.720432,-2.9674294,1.7627344,2.2345533,-6.5791187
9.24717,-6.69408,1.092129,17.641714,15.30657,1.6166383,0.6227051,4.703819,-8.202942
11.824212,-6.3156667,0.22752686,4.655918,-6.200706,-5.616321,0.69695073,4.0523734,-5.216353
11.759546,-7.1539235,1.8992506,-34.27273,-12.645703,-10.645863,5.326524,-0.05748047,-7.31439
9.855506,-8.023315,0.9867481,-5.9947343,-6.327642,-0.6849756,13.802498,-0.4263135,-11.481724
6.943162,-7.311995,1.22625,16.132853,6.5623536,-1.6549586,5.7480474,-1.1064991,-7.4054008
4.8571,-5.688172,0.5412744,16.52803,19.392473,0.016765138,7.541917,-2.095642,-9.905801
3.2332766,-4.272715,-0.15328126,8.643626,0.14130616,-1.5160475,9.80521,-2.2249732,-8.926238
4.0691385,-4.1553593,0.16525635,-19.301464,-14.166541,-7.213799,12.485237,-1.5735279,-7.158714
7.4652762,-5.719307,0.17004639,-8.320298,-7.197034,-3.4368532,16.140038,-0.7783814,-4.864285
9.053174,-7.101233,1.1903248,5.8175025,-2.560276,-8.064031,7.7622585,0.07424561,-2.8428884
8.792117,-7.6209526,1.1591895,38.246067,30.45028,-13.479171,4.061953,1.2549903,-3.9972878
11.314073,-6.8497562,0.7664063,13.658797,11.790682,-3.9685476,0.7544312,3.8464015,-6.8856816
10.739268,-6.4066777,2.3016138,-4.7253737,-7.31439,-4.4212065,3.6140847,5.4127445,-6.550379
10.31535,-6.4282327,-0.23710695,-25.825497,-8.358619,-5.0510964,0.8262818,3.2596216,-7.1156034
10.981165,-6.964717,0.3784131,-6.9048414,-6.631809,-2.1171973,5.0894165,-0.62749517,-7.668853
9.460327,-7.5155716,0.7376661,41.376358,21.047432,-4.387676,9.364527,-1.453777,-5.9324636
6.945557,-6.564749,1.21188,15.603553,15.285015,4.24158,9.965676,-2.5315359,-7.3646855
5.269043,-5.1708474,0.51492923,0.24908204,-5.6761966,-4.021238,9.620794,-3.1326857,-9.704619
3.4584084,-4.169729,0.100590825,-22.60659,-7.6425076,-7.582632,8.018526,-3.1255007,-10.044712
4.9792457,-4.7972245,0.20597169,-7.798184,-6.2965064,-1.4010864,10.744058,-2.8261232,-9.683064
5.6594315,-6.1240654,0.44547364,33.0848,12.116405,-1.6884888,14.324613,-1.7339942,-6.67013
